取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2025/01/01 15:38:14,-,21,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000009
2025/01/01 15:38:14,"1,426",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPay残高,-,本人,05012200000009
2025/01/01 15:46:47,-,5,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000010
2025/01/01 15:46:47,"1,064",-,-,-,-,日本,支払い,ローソン - 駅前店,クレジット Mastercard 0000,ー回払い,本人,05012200000010
2025/01/02 10:34:17,-,5,-,-,-,日本,ポイント、残高の獲得,タイムズ 中央第2,PayPayポイント,-,本人,05012200000012
2025/01/02 10:34:17,"1,194",-,-,-,-,日本,支払い,タイムズ 中央第2,PayPay残高,-,本人,05012200000012
2025/01/02 15:24:55,-,1,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000011
2025/01/02 15:24:55,307,-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPay残高,-,本人,05012200000011
2025/01/03 09:37:41,-,8,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000013
2025/01/03 09:37:41,899,-,-,-,-,日本,支払い,ファミリーマート 本町店,クレジット Mastercard 0000,ー回払い,本人,05012200000013
2025/01/05 16:01:26,-,7,-,-,-,日本,ポイント、残高の獲得,ガスト - 中央店,PayPayポイント,-,本人,05012200000014
2025/01/05 16:01:26,"1,546",-,-,-,-,日本,支払い,ガスト - 中央店,PayPay残高,-,本人,05012200000014
2025/01/05 22:36:22,-,46,-,-,-,日本,ポイント、残高の獲得,Amazon.co.jp,PayPayポイント,-,本人,05012200000015
2025/01/05 22:36:22,"3,082",-,-,-,-,日本,支払い,Amazon.co.jp,PayPay残高,-,本人,05012200000015
2025/01/06 12:03:56,-,26,-,-,-,日本,ポイント、残高の獲得,スシロー - 大通り店,PayPayポイント,-,本人,05012200000018
2025/01/06 12:03:56,"2,667",-,-,-,-,日本,支払い,スシロー - 大通り店,PayPay残高,-,本人,05012200000018
2025/01/06 15:49:44,-,47,-,-,-,日本,ポイント、残高の獲得,ドン・キホーテ - 大通り店,PayPayポイント,-,本人,05012200000016
2025/01/06 15:49:44,"4,774",-,-,-,-,日本,支払い,ドン・キホーテ - 大通り店,PayPayあと払い,-,本人,05012200000016
2025/01/06 16:31:27,-,2,-,-,-,日本,ポイント、残高の獲得,スターバックス コーヒー - 駅ビル店,PayPayポイント,-,本人,05012200000017
2025/01/06 16:31:27,589,-,-,-,-,日本,支払い,スターバックス コーヒー - 駅ビル店,PayPay残高,-,本人,05012200000017
2025/01/07 07:38:40,-,2,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000020
2025/01/07 07:38:40,450,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000020
2025/01/07 15:10:32,-,7,-,-,-,日本,ポイント、残高の獲得,交通系ICチャージ,PayPayポイント,-,本人,05012200000021
2025/01/07 15:10:32,"1,448",-,-,-,-,日本,支払い,交通系ICチャージ,PayPayあと払い,-,本人,05012200000021
2025/01/07 16:55:12,-,17,-,-,-,日本,ポイント、残高の獲得,イオン - 中央店,PayPayポイント,-,本人,05012200000019
2025/01/07 16:55:12,"3,530",-,-,-,-,日本,支払い,イオン - 中央店,PayPay残高,-,本人,05012200000019
2025/01/08 07:40:29,-,5,-,-,-,日本,ポイント、残高の獲得,ローソン - 駅前店,PayPayポイント,-,本人,05012200000022
2025/01/08 07:40:29,"1,080",-,-,-,-,日本,支払い,ローソン - 駅前店,PayPayあと払い,-,本人,05012200000022
2025/01/08 14:36:15,"1,590",-,-,-,-,日本,支払い,Netflix,クレジット Mastercard 0000,ー回払い,本人,05012200000002
2025/01/09 10:20:16,-,3,-,-,-,日本,ポイント、残高の獲得,ドトールコーヒーショップ - 東口店,PayPayポイント,-,本人,05012200000023
2025/01/09 10:20:16,704,-,-,-,-,日本,支払い,ドトールコーヒーショップ - 東口店,PayPay残高,-,本人,05012200000023
2025/01/09 12:05:44,"5,514",-,-,-,-,日本,支払い,水道料金 請求書払い,PayPay残高,-,本人,05012200000006
2025/01/09 20:58:01,-,"20,000",-,-,-,日本,チャージ,PayPay,PayPay残高,-,本人,05012200000008
2025/01/10 08:39:46,-,13,-,-,-,日本,ポイント、残高の獲得,Yahoo!ショッピング,PayPayポイント,-,本人,05012200000025
2025/01/10 08:39:46,"2,643",-,-,-,-,日本,支払い,Yahoo!ショッピング,PayPayあと払い,-,本人,05012200000025
2025/01/10 21:51:11,-,12,-,-,-,日本,ポイント、残高の獲得,セブン-イレブン 中央一丁目店,PayPayポイント,-,本人,05012200000024
2025/01/10 21:51:11,"1,242",-,-,-,-,日本,支払い,セブン-イレブン 中央一丁目店,PayPayあと払い,-,本人,05012200000024
2025/01/12 10:30:56,980,-,-,-,-,日本,支払い,Spotify,クレジット Mastercard 0000,ー回払い,本人,05012200000003
2025/01/13 13:35:14,-,17,-,-,-,日本,ポイント、残高の獲得,ファミリーマート 本町店,PayPayポイント,-,本人,05012200000026
2025/01/13 13:35:14,"1,179",-,-,-,-,日本,支払い,ファミリーマート 本町店,PayPayあと払い,-,本人,05012200000026
